titre,prix,surface,nb_pieces,nb_chambres,ville,code_postal,adresse,quartier,type_bien,groupe_type,prix_m2,lien,description,photo_1,photo_2,photo_3,photo_4,photo_5
"Appartement à vendre - Toulon - 159 000 € - 2 pièces, 1 chambre, 45,8 m², Étage 6/6",159 000 €,45.8,2.0,1.0,Toulon,83100,,Est Toulon,Appartement,Appartement,3 472 €,https://www.seloger.com/annonces/achat/appartement/toulon-83/champ-de-mars/254872749.htm,"** T2 EN DERNIER ÉTAGE AVEC BALCON, CAVE ET PLACE DE PARKING PRIVATIVE ** PROCHE TOUTES COMMODITÉS & CLINIQUE SAINT JEAN ** Nouveauté en exclusivité ! Vous recherchez un grand T2 en DERNIER ÉTAGE ave...",https://mms.seloger.com/a/8/3/3/a833e6f2-066c-48ce-b19c-2c36901e3307.jpg?ci_seal=073e07b8781e3906a9b8073895e0d9fccc8a4a90&h=50,https://mms.seloger.com/0/6/2/d/062daabb-d8ee-4df9-b3f7-70d422d9cbb5.jpg?ci_seal=a84ed5cb213416aa8cb81f9ab2f98109ffdf0885&w=525&h=394,https://mms.seloger.com/b/5/a/a/b5aaeff6-392b-429d-b87a-782bca863c5e.jpg?ci_seal=4e56eb0f44d9e964f4dc300455d1711acbd91c7b&w=525&h=394,https://mms.seloger.com/a/c/3/c/ac3cc779-15e9-4e38-8fe4-431aa4262e90.jpg?ci_seal=e1f327339b2a287a9729c26026637726b58c8089&w=525&h=394,
"Appartement à vendre - Toulon - 160 000 € - 2 pièces, 1 chambre, 33 m², Étage 4/4",160 000 €,33.0,2.0,1.0,Toulon,83000,"Mourillon-Sud, ()",Centre / Littoral,Appartement,Appartement,4 848 €,https://www.seloger.com/annonces/achat/appartement/toulon-83/262566591.htm?serp_view=list&search=distributionTypes%3DBuy%26estateTypes%3DHouse%2CApartment%26locations%3DAD08FR34378%26priceMax%3D500000%26page%3D2&sort_order_ab_test=sort_order_reference&feature_aiEnrichment=false#ln=classified_search_results&m=classified_search_results_classified_classified_detail_XL,Au coeur du typique quartier du mourillon à Toulon et à 300m de la plage de la mitre ce T2 entierement renové est un vrai coup de coeur . Ideal pour une residence principale ou pour un investissement...,https://mms.seloger.com/a/9/c/a/a9ca04f9-f48b-467f-b177-25348bd1f3aa.jpg?ci_seal=2d036bb41c1f078fb7cc69b150cfb0d7efe55a25&w=626&h=470,https://mms.seloger.com/e/f/9/f/ef9f8b99-1cda-43ec-a789-f86deba614e5.jpg?ci_seal=5e6ec404f135422463bc1222b1ab52e903bea43c&w=626&h=470,https://mms.seloger.com/9/8/5/f/985f9397-edf2-4dd9-b514-5b5e79cb2fa0.jpg?ci_seal=31d1eb76df713e1259df42cfb3cefe085316cd7f&w=626&h=470,https://mms.seloger.com/7/c/c/0/7cc09067-e5d1-45ab-a8f9-4493a918d153.jpg?ci_seal=d2dab044dd5efbf370f5b010bb94e1701cb7a76c&w=626&h=470,
"Appartement à vendre - Toulon - 160 000 € - 2 pièces, 1 chambre, 35 m², Étage 2/6",160 000 €,35.0,2.0,1.0,Toulon,83100,(),Est Toulon,Appartement,Appartement,4 571 €,https://www.seloger.com/annonces/achat/appartement/toulon-83/262419837.htm,"TOULON FONT PRE / PROCHE LA VALETTE - en plein coeur de l'écoquartier au 2e étage de l'immeuble avec ascenseur, un appartement de type 2 d'environ 35m² avec une grande terrasse en L de 15m² - compren...",https://mms.seloger.com/e/a/2/3/ea23ff7a-8293-4d80-9fe2-a4c7db81c9ed.jpg?ci_seal=9e857c22aad017894963c326a1f959d4081769cc&w=525&h=394,https://mms.seloger.com/2/c/d/d/2cddb94e-c251-41fb-83ad-845b14db34fa.jpg?ci_seal=12ca3e01e8f1f18b4d79bec460637702ec497eee&w=525&h=394,https://mms.seloger.com/b/0/0/2/b0025f22-b7bf-41d8-9971-efb265f166bd.jpg?ci_seal=f9bab9ae4b8bbe5c00fed352543caa5d5124760c&w=525&h=394,,
"Appartement à vendre - Toulon - 164 000 € - 3 pièces, 2 chambres, 66 m², Étage 2/4",164 000 €,66.0,3.0,2.0,Toulon,83200,,Ouest Toulon,Appartement,Appartement,2 485 €,https://www.seloger.com/annonces/achat/appartement/toulon-83/250529969.htm?serp_view=list&search=distributionTypes%3DBuy%26estateTypes%3DHouse%2CApartment%26locations%3DAD08FR34378%26priceMax%3D500000&sort_order_ab_test=sort_order_reference&feature_aiEnrichment=false#ln=classified_search_results&m=classified_search_results_classified_classified_detail_XL,"Architecture des années 80 pour cette résidence idéalement située en plein cœur du centre-ville de Toulon, qui abrite une appartement traversant de type 3, situé au 2 € étage sur 4 avec ascenseur, qu...",https://mms.seloger.com/0/a/e/f/0aef9e3f-6fb9-402f-a21d-6f0953ff5a84.jpg?ci_seal=0c501b9d2d55be615eedf7b2bf9a480d9a52e27e&w=626&h=470,https://mms.seloger.com/9/d/f/a/9dfa89c1-2334-4e97-9936-18e0461d7bd7.jpg?ci_seal=713a65032b54f34c554c3c81f5c6747f5338d452&w=626&h=470,https://mms.seloger.com/c/2/d/6/c2d6f126-0124-4ec9-bc07-8493189a0b55.jpg?ci_seal=65578cabb3a77a9df247e55eb277564b34cdfe64&w=626&h=470,https://mms.seloger.com/4/6/c/3/46c31deb-cd17-4d15-904d-e5a5f5140a85.jpg?ci_seal=9d743d3fba8e80d42c3c61a8c52987fceabee4c5&w=626&h=470,https://mms.seloger.com/e/3/7/d/e37d5fd7-f98b-469c-b8c0-56e23c5431a6.jpg?ci_seal=d83392b93e9ab338e8ca339ea5eaab2b75bda18f&w=626&h=470
"Appartement à vendre - Toulon - 164 000 € - 2 pièces, 1 chambre, 48 m², RDC/3",164 000 €,48.0,2.0,1.0,Toulon,83000,"Place d'Armes, ()",Centre / Littoral,Appartement,Appartement,3 417 €,https://www.seloger.com/annonces/achat/appartement/toulon-83/place-d-armes/262840783.htm,"Rare à la vente ! Idéalement situé à Toulon, en plein cœur du centr...",https://mms.seloger.com/2/0/a/9/20a9ee77-5d11-47db-b797-1b734a843210.jpg?ci_seal=c26d7d0cdf0f0ba4f0523c3570f922e7039ba2f8&w=525&h=394,https://mms.seloger.com/9/b/9/5/9b956f19-f8ad-4c16-96a1-58df57750c90.jpg?ci_seal=7b0b8e7ec4d921f8bd5f5e289e954cab66559224&w=525&h=394,https://mms.seloger.com/7/c/0/d/7c0da153-22f3-4615-8bc4-5717abe9939b.jpg?ci_seal=c1ca065c1dec3402bbbaca024d20cf8d0d28a39b&w=525&h=394,,
"Appartement à vendre - Toulon - 165 000 € - 2 pièces, 1 chambre, 37 m², Étage 5/5",165 000 €,37.0,2.0,1.0,Toulon,83000,"Mourillon-Centre, ()",Centre / Littoral,Appartement,Appartement,4 460 €,https://www.seloger.com/annonces/achat/appartement/toulon-83/mourillon-centre/251355907.htm,"Toulon - Dans le célèbre quartier du Mourillon, venez découvrir cet appartement de type 2 au dernier étage d'une résidence bien entretenue. Proche des commodités et entièrement rénové, il saura vous ...",https://mms.seloger.com/3/6/4/e/364efaf3-2f16-4417-bc01-7a9640d6f098.jpg?ci_seal=718b22186f36a8d377156d1d7fbcae45ef05cada&w=626&h=470,https://mms.seloger.com/3/6/d/1/36d143e9-a4de-47fa-b309-3725982c87a3.jpg?ci_seal=28c58c3201760a82df49e7228b4b1608496da594&w=626&h=470,https://mms.seloger.com/9/5/e/6/95e6c1f9-ee37-4856-b3d0-00a94f0a1b3d.jpg?ci_seal=ed8fc87b4c0ee34a016801a6fcdedbb79a680923&w=626&h=470,https://mms.seloger.com/1/1/6/0/1160ac8d-d1bd-4a61-a8dc-2b4a7675923c.jpg?ci_seal=d7cfc2f299a2cedcf9ea0346dd2dddf04b09688e&w=626&h=470,https://mms.seloger.com/e/4/f/a/e4fa1958-4688-4388-85aa-dd385d981034.jpg?ci_seal=619c08f00c4a7784e068325f415592e15e59a85f&w=626&h=470
"Appartement à vendre - Toulon - 166 000 € - 2 pièces, 1 chambre, 58 m², Étage 4/6",166 000 €,58.0,2.0,1.0,Toulon,83200,,Ouest Toulon,Appartement,Appartement,2 862 €,https://www.seloger.com/annonces/achat/appartement/toulon-83/temple/261222289.htm,"iad France - Jean-Michel PY vous propose: Venez découvrir ce vaste appartement de 2 pièces avec parking privatif, situé avenue Blanqui à Toulon, Situé au 4ème étage avec ascenseur d'une résidence séc...",https://mms.seloger.com/3/f/d/d/3fdde937-4e83-4c08-a10f-d7da187b50f4.jpg?ci_seal=ea126521223a06c3eba10781fa9b856e90f34929&w=525&h=394,https://mms.seloger.com/4/2/9/9/429912e3-d11e-4b2d-b85e-fa5124c71bf3.jpg?ci_seal=fb723bde441ee952766140877bd150f6dba61809&w=525&h=394,https://mms.seloger.com/3/1/d/a/31da0dd6-3b0d-4e8c-8af8-46d8fec9bca9.jpg?ci_seal=13dab8c4165745f9521c5f18615ad20afa31e76c&w=525&h=394,,
"Appartement à vendre - Toulon - 169 000 € - 2 pièces, 1 chambre, 40 m², Étage 1/7",169 000 €,40.0,2.0,1.0,Toulon,83000,,Centre / Littoral,Appartement,Appartement,4 225 €,https://www.seloger.com/annonces/achat/appartement/toulon-83/262621869.htm?serp_view=list&search=distributionTypes%3DBuy%26estateTypes%3DHouse%2CApartment%26locations%3DAD08FR34378%26priceMax%3D500000%26page%3D4&sort_order_ab_test=sort_order_variant&feature_aiEnrichment=true#ln=classified_search_results&m=classified_search_results_classified_classified_detail_L,"Toulon Claret, au calme proche centre ville, dans résidence de qualité appartement T2 en excellent état Entrée avec penderie donnnant sur bel espace à vivre avec cuisine US entièrement aménagée équip...",https://mms.seloger.com/9/6/2/a/962a13c4-9bfb-48fd-819c-c785d9692072.jpg?ci_seal=52a8f5d8451800d8d7943cebab8ea1ba8bf3aab6&w=525&h=394,https://mms.seloger.com/d/5/f/8/d5f8194d-b24f-4d1c-94b2-6dc545a1d83c.jpg?ci_seal=69e4c35c8644ebd7e40e5a28f6cdc17779396605&w=525&h=394,https://mms.seloger.com/3/c/e/d/3ceddfa4-da06-4bf0-ab5b-020efcba8f0b.jpg?ci_seal=b4348055201960b73526c827b81f7902c880ae29&w=525&h=394,,
"Appartement à vendre - Toulon - 169 600 € - 3 pièces, 2 chambres, 61 m², Étage 4/5",169 600 €,61.0,3.0,2.0,Toulon,83100,"Saint Jean du Var, ()",Est Toulon,Appartement,Appartement,2 780 €,https://www.seloger.com/annonces/achat/appartement/toulon-83/261939613.htm,"TOULON - ELIVENTIS vous propose à la vente ce bel appartement T3 traversant de 61 m². Dans une résidence entretenue, offrant une agréable luminosité tout au long de la journée et un fort potentiel ap...",https://mms.seloger.com/d/3/c/e/d3ce2461-540c-4d0f-944f-1fd249dedf85.jpg?ci_seal=5b32b147407736f08923e343be8ab7dc42a266be&w=525&h=394,https://mms.seloger.com/d/0/b/8/d0b8b5ea-ce00-4d00-b333-27dc23fd9bd5.jpg?ci_seal=1d8f11ce6c2c48e9d58b24e7d75132e1a9c53cb3&w=525&h=394,https://mms.seloger.com/3/d/a/3/3da3dcf3-6f6d-4676-9c84-1c347c812010.jpg?ci_seal=e38c54e58d78f1e2d1a73a04ca200348a8359a4a&w=525&h=394,,
"Appartement à vendre - Toulon - 169 900 € - 2 pièces, 1 chambre, 58 m², Étage 4/4",169 900 €,58.0,2.0,1.0,Toulon,83000,(),Centre / Littoral,Appartement,Appartement,2 929 €,https://www.seloger.com/annonces/achat/appartement/toulon-83/262670005.htm?serp_view=list&search=distributionTypes%3DBuy%26estateTypes%3DHouse%2CApartment%26locations%3DAD08FR34378%26priceMax%3D500000%26page%3D15&sort_order_ab_test=sort_order_variant&feature_aiEnrichment=true#ln=classified_search_results&m=classified_search_results_classified_classified_detail_L,"Idéalement situé à proximité immédiate du centre-ville, découvrez ce superbe appartement en dernier étage avec ascenseur, niché au sein d’une élégente résidence de style Art Déco. Dès l’entrée, vous ...",https://mms.seloger.com/f/2/1/0/f210a098-3574-48d8-a319-f67f636c16b3.jpg?ci_seal=ca7fa18f85c3e969c57f46044bc402cba95e5d5d&h=50,https://mms.seloger.com/9/4/3/5/943559f3-6076-4b56-85de-6bf2c1dc4456.jpg?ci_seal=769c3657c05739766d81430f1b9c1760cb40e7ff&w=525&h=394,https://mms.seloger.com/5/d/1/b/5d1bae39-2e7f-40ef-9188-06daf8a62147.jpg?ci_seal=b4726ccde519fac75a3f4400212e8a402e1d69e5&w=525&h=394,https://mms.seloger.com/2/9/3/a/293af85d-975d-41f4-8f22-f5a59b3a16d4.jpg?ci_seal=d06c83fa344db1869818b5cbaab5c896a7ac2486&w=525&h=394,
"Appartement à vendre - Toulon - 170 000 € - 3 pièces, 2 chambres, 60 m², 3ème étage",170 000 €,60.0,3.0,2.0,Toulon,83000,"Champ de Mars, ()",Centre / Littoral,Appartement,Appartement,2 833 €,https://www.seloger.com/annonces/achat/appartement/toulon-83/champ-de-mars/260004843.htm?serp_view=list&search=distributionTypes%3DBuy%26estateTypes%3DHouse%2CApartment%26locations%3DAD08FR34378%26priceMax%3D500000%26page%3D2&sort_order_ab_test=sort_order_reference&feature_aiEnrichment=false#ln=classified_search_results&m=classified_search_results_classified_classified_detail_XL,"Venez découvrir ce T3 lumineux et fonctionnel de 60m2, situé au 3ème étage d'une résidence avec ascenseur. Idéal pour une famille ou un premier achat. Au 3ème étage d'une résidence entretenue et sécu...",https://mms.seloger.com/3/0/8/1/30812d25-9db6-4127-90d1-e8c13cdf29b1.jpg?ci_seal=2604f672d2da4071fff115416ff257d3b639397b&w=626&h=470,https://mms.seloger.com/f/7/f/a/f7fa03b9-edd1-4482-ab17-23ac537f89a1.jpg?ci_seal=8bc545f93aeb05203f2e489e2140bcd445a3303d&w=626&h=470,https://mms.seloger.com/b/4/6/4/b4648655-f41f-4ee2-b162-85a729b84b0c.jpg?ci_seal=7750aff483bf03e7593cca96891d4d74d9db333e&w=626&h=470,https://mms.seloger.com/0/d/2/8/0d2897eb-28af-49c5-b877-dc6ccdd2b7ae.jpg?ci_seal=b126f9a067ce4a1c13577b3dbde9742b79f30e49&w=626&h=470,https://mms.seloger.com/0/1/6/8/0168c0c8-5b8f-4177-a4ea-3993e608c8ec.jpg?ci_seal=def78c9bdc1bd528405335e4f50b9568b1623e89&w=626&h=470
"Appartement à vendre - neuf - Toulon - 170 119 € - 2 pièces, 1 chambre, 39 m², RDC",170 119 €,39.0,2.0,1.0,Toulon,83000,,Centre / Littoral,Appartement,Appartement,4 362 €,https://www.seloger.com/annonces/achat/appartement/toulon-83/valbertrand/250918065.htm,"iad France - Laurent Nosbaume vous propose: À Toulon, dans le quartier de Bonfante-Florane apprécié pour sa tranquillité, découvrez une résidence composée de 46 appartements du 2 au 4 pièces. À moin...",https://mms.seloger.com/2/d/7/e/2d7e57d1-ceea-40f6-bd2a-4559cd3e6fbe.jpg?ci_seal=79b21ca3c500b6809e4856b8785b455e105777b5&w=525&h=394,https://mms.seloger.com/9/e/1/0/9e101db5-29c7-46bc-903c-533504fd32b7.jpg?ci_seal=2f18b2bfe16725db8d7ad70a837ecbe7634d2b66&w=525&h=394,https://mms.seloger.com/2/5/1/4/25146415-db51-4f51-810d-12d08b3c85dc.jpg?ci_seal=ad0c5382355959490a40ab5ee5f69c7f6f4f1ce3&w=525&h=394,,
"Appartement à vendre - Toulon - 171 000 € - 2 pièces, 1 chambre, 63 m²",171 000 €,63.0,2.0,1.0,Toulon,83200,,Ouest Toulon,Appartement,Appartement,2 714 €,https://www.seloger.com/annonces/achat/appartement/toulon-83/262520657.htm?serp_view=list&search=distributionTypes%3DBuy%26estateTypes%3DHouse%2CApartment%26locations%3DAD08FR34378%26priceMax%3D500000%26page%3D10&sort_order_ab_test=sort_order_variant&feature_aiEnrichment=true#ln=classified_search_results&m=classified_search_results_classified_classified_detail_M,"Bel appartement T2 de 63 m² entièrement rénové à vendre, construit en 2005 — au 1er étage et dans un véritable écrin de verdure vous pourrez profitez des espaces extérieurs de la résidence. En parfai...",https://mms.seloger.com/2/7/d/0/27d0dd4e-0391-4af3-9f90-a6f3bec6f03d.jpg?ci_seal=fe46749e2e2e4b16c23358a2aa456d0336a12d3d&w=525&h=394,https://mms.seloger.com/a/a/5/d/aa5d6895-9bbb-4a0e-87f4-d61685aec469.jpg?ci_seal=8c87780c48f536be4f9a4e97716a1c4f9e7cfc17&w=525&h=394,https://mms.seloger.com/b/e/9/9/be997f81-4047-475c-8c95-7225d0e5888f.jpg?ci_seal=78b8413f2b505208d6e30d0fac775636183f2ce8&w=525&h=394,,
"Appartement à vendre - Toulon - 171 200 € - 3 pièces, 2 chambres, 53,7 m², Étage 4/12",171 200 €,53.7,3.0,2.0,Toulon,83000,,Centre / Littoral,Appartement,Appartement,3 188 €,https://www.seloger.com/annonces/achat/appartement/toulon-83/aguillon/261302373.htm?serp_view=list&search=distributionTypes%3DBuy%26estateTypes%3DHouse%2CApartment%26locations%3DAD08FR34378%26priceMax%3D500000&sort_order_ab_test=sort_order_reference&feature_aiEnrichment=false#ln=classified_search_results&m=classified_search_results_classified_classified_detail_XL,"Toulon - Quartier Aguillon, sans vis à vis, appartement T3 au 4ème étage avec ascenseur et présence d'un gardien/concierge au sein de la résidence. L'appartement est composé de deux chambres dont une...",https://mms.seloger.com/b/0/2/2/b02245c7-3c17-4938-83b2-e40d74f5fbae.jpg?ci_seal=0950d6bea65542e3db3221e51d991f1a5bf24000&w=626&h=470,https://mms.seloger.com/1/b/c/7/1bc777f4-43de-4e41-905c-f36f24aa7c8c.jpg?ci_seal=b2a451b04d310fcfe9a38023a5bd798fe08757ec&w=626&h=470,https://mms.seloger.com/3/2/9/a/329a97ab-6812-42a1-9ff3-ed9a2cc5c65e.jpg?ci_seal=0d0743ad0dc139ddaff21c13350bb1d8464cae91&w=626&h=470,https://mms.seloger.com/c/9/3/7/c937462b-e34e-41c5-b51d-b1825ebb7ac2.jpg?ci_seal=5094a1b53131fc1a3c658b545a65843747c06ebf&w=626&h=470,https://mms.seloger.com/f/e/6/a/fe6a0873-e7b0-4298-ad14-f0c0b06639f7.jpg?ci_seal=19ae3aac86c70acee30554cd2d487f1f8b8d709d&w=626&h=470
"Appartement à vendre - Toulon - 173 000 € - 2 pièces, 1 chambre, 39 m², Étage 2/5",173 000 €,39.0,2.0,1.0,Toulon,83100,,Est Toulon,Appartement,Appartement,4 436 €,https://www.seloger.com/annonces/achat/appartement/toulon-83/brunet/263005555.htm,"TOULON nouvel Eco quartier Brunet Dans une résidence de bon standing de 2016 située très au calme, venez découvrir ce chaleureux T2 au 2ème étage (normes P.M.R.). L'appartement dispose d'une entrée a...",https://mms.seloger.com/8/9/e/4/89e471c6-cc13-4724-9ceb-6147c4b5adf6.jpg?ci_seal=e411bfb8fc08b51b1c695c4b90130cecfafa739d&h=50,https://mms.seloger.com/9/4/6/0/9460e7a6-0a8c-4b82-932f-847e43ad0ab9.jpg?ci_seal=644e060efc09dc578d3823a419655a0d1a3f814e&w=525&h=394,https://mms.seloger.com/d/5/6/7/d5672db8-0149-4b90-9139-21c9aea49ea1.jpg?ci_seal=eaaed264e23096a5886c24095aa3560a9149f547&w=525&h=394,https://mms.seloger.com/d/9/7/f/d97f79a8-f035-46a3-8d03-7ec4d9df688c.jpg?ci_seal=d8d43b4a25216495b6f2ba23d17de8a53ec95ded&w=525&h=394,
"Appartement à vendre - Toulon - 175 000 € - 4 pièces, 2 chambres, 74 m², Étage 5/6",175 000 €,74.0,4.0,2.0,Toulon,83200,,Ouest Toulon,Appartement,Appartement,2 365 €,https://www.seloger.com/annonces/achat/appartement/toulon-83/bon-rencontre/261180591.htm,"iad France - Bruno Moullet vous propose: TOULON - APPARTEMENT T4 avec TERRASSE panoramique, cave, vue dégagée aperçu mer. Dans une résidence sécurisée avec ascenseur et gardien, découvrez ce T4 de 75...",https://mms.seloger.com/c/9/7/f/c97fc1f3-ef25-4662-895e-a86992742b29.jpg?ci_seal=8339336e442308271d3bb8712e31b622fa79c590&h=50,https://mms.seloger.com/7/8/0/9/7809c6ab-d238-4f7b-ab3c-c16b5da0675f.jpg?ci_seal=24aac29529384d30f62884be2a20c539c08396c9&w=525&h=394,https://mms.seloger.com/d/d/5/5/dd55e272-e74e-4953-b97d-c3879698b782.jpg?ci_seal=969e7e48e2d5e7cd6f7b2d1f4472fe98a6cca667&w=525&h=394,https://mms.seloger.com/3/2/1/e/321e8fce-dd98-4b87-a61c-640c424fd7cf.jpg?ci_seal=354e8f9f40f1eee1fc6987325d8989d459876243&w=525&h=394,
"Appartement à vendre - neuf - Toulon - 178 000 € - 2 pièces, 1 chambre, 43 m², Étage 1/4",178 000 €,43.0,2.0,1.0,Toulon,83000,,Centre / Littoral,Appartement,Appartement,4 140 €,https://www.seloger.com/annonces/achat/appartement/toulon-83/263070133.htm,"IDEAL 1ER ACHAT, APPARTEMENT IDEALEMENT EXPOSE PROCHE DE TOUTES LES COMMODITES, QUARTIER CALME Contact : Clément GAGNO Dans une résidence neuve et contemporaine, idéalement située, découvrez ce bel a...",https://mms.seloger.com/9/2/5/2/92520c78-bbaf-4c12-9aca-66a954f834b9.jpg?ci_seal=ade57113cf2eafa7692bd6645fb218003e19e1a6&w=525&h=394,https://mms.seloger.com/9/1/5/e/915eb912-2c18-44a7-912f-e7f9b2a694f8.jpg?ci_seal=e15dc82e60cafde451128f112dd2f48793343cd7&w=525&h=394,https://mms.seloger.com/f/5/4/0/f540b8a8-664b-4ad5-8431-edcf01655bc8.jpg?ci_seal=370ea8be609124d6ee149606a96761268f054c0e&w=525&h=394,,
"Appartement à vendre - neuf - Toulon - 178 031 € - 2 pièces, 42,6 m², 1er étage, dès le 30/06/2028",178 031 €,42.6,2.0,,Toulon,83200,,Ouest Toulon,Appartement,Appartement,4 179 €,https://www.selogerneuf.com/annonces/neuf/programme/toulon-83/247006451/?serp_view=list&search=distributionTypes%3DBuy%26estateTypes%3DHouse%2CApartment%26locations%3DAD08FR34378%26priceMax%3D500000&sort_order_ab_test=sort_order_reference&unitId=258508031&feature_aiEnrichment=false#ln=classified_search_results&m=classified_search_results_classified_classified_detail_L&source=SL_web,"À Toulon, dans le quartier de Bonfante-Florane apprécié pour sa tranquillité, découvrez une résidence signée Urbat, composée de 48 appartements du 2 au 4 pièces. À moins de 10 minutes des plages, du ...",https://mms.seloger.com/e/7/9/4/e7940ad5-753f-425e-a57f-c3132303540a.jpg?ci_seal=19a7837037be1c49c60f28020f4db36ed8a7f23e&w=525&h=394,https://mms.seloger.com/6/7/0/e/670e3266-db6c-4c6c-910c-62eef45ac356.jpg?ci_seal=14444d6f65b63235ee8e8c127f762bf7b974eb2e&w=525&h=394,https://mms.seloger.com/3/a/0/6/3a06bdfe-f5d3-4007-a1cb-a601644dd7f2.jpg?ci_seal=28e7712759fc68342d1e6e882456dacb2b419c8f&w=525&h=394,,
"Appartement à vendre - Toulon - 179 000 € - 4 pièces, 2 chambres, 67 m², 3ème étage",179 000 €,67.0,4.0,2.0,Toulon,83200,(),Ouest Toulon,Appartement,Appartement,2 672 €,https://www.seloger.com/annonces/achat/appartement/toulon-83/260972071.htm?serp_view=list&search=distributionTypes%3DBuy%26estateTypes%3DHouse%2CApartment%26locations%3DAD08FR34378%26priceMax%3D500000%26page%3D2&sort_order_ab_test=sort_order_reference&feature_aiEnrichment=false#ln=classified_search_results&m=classified_search_results_classified_classified_detail_XL,"Valbertrand T4 en parfait état, dernier étage, terrasse, Parking collectif Dans une résidence calme et arborée sur le secteur recherché de Valbertrand, découvrez ce superbe appartement de type 4, en ...",https://mms.seloger.com/f/7/0/4/f7040257-cf79-4fef-995c-fb4a9d235e89.jpg?ci_seal=ef015eef28d749a0b0c8ca8910678f14dc7283de&w=626&h=470,https://mms.seloger.com/2/5/e/c/25ec0cc1-f1f4-49b9-a355-0151d1c0df40.jpg?ci_seal=4e7d0764b48e42aaa1686e4f14da51967a4031bc&w=626&h=470,https://mms.seloger.com/e/6/9/5/e695fc14-0dcc-4586-bf8c-48a84c9a5a05.jpg?ci_seal=169aecc07952cc2aeb38af1f7ea92babb950e9f8&w=626&h=470,https://mms.seloger.com/8/c/0/f/8c0f3f2a-9a4b-4f7e-9c8e-dd0bcbbfb227.jpg?ci_seal=ccf55cc609d41060c09fb998a0bfb36cf571044f&w=626&h=470,https://mms.seloger.com/b/3/b/1/b3b1820e-2b5c-4b7a-a238-310782c7aa83.jpg?ci_seal=c5b712c4cfab32ac3325131f9d6db7572e4a2858&w=626&h=470
"Appartement à vendre - Toulon - 179 000 € - 3 pièces, 3 chambres, 69,9 m²",179 000 €,69.9,3.0,3.0,Toulon,83100,,Est Toulon,Appartement,Appartement,2 561 €,https://www.seloger.com/annonces/achat/appartement/toulon-83/sainte-musse/262538975.htm?serp_view=list&search=distributionTypes%3DBuy%26estateTypes%3DHouse%2CApartment%26locations%3DAD08FR34378%26priceMax%3D500000%26page%3D10&sort_order_ab_test=sort_order_variant&feature_aiEnrichment=true#ln=classified_search_results&m=classified_search_results_classified_classified_detail_M,"EXCLUSIVITE !! ** APPARTEMENT TRAVERSANT AVEC CAVE DERNIER ETAGE TOULON ** Situé au 3 € et dernier étage d'une petite copropriété sans ascenseur, cet appartement lumineux et traversant offre un beau ...",https://mms.seloger.com/e/d/4/9/ed494994-bbbd-460f-9118-b392e1154db7.jpg?ci_seal=456aed832a4b516f0b510de34275dcb4182a76f9&w=525&h=394,https://mms.seloger.com/a/e/e/e/aeee378a-526f-4aee-8f0b-81b29123999b.jpg?ci_seal=261cb6b9fafc28622989fa293533d3a7e8ed87f0&w=525&h=394,https://mms.seloger.com/f/7/4/8/f7485feb-79e2-47eb-873a-28aa10ddfa6f.jpg?ci_seal=90d83177bdeff788596d5d708a8a8e61e472cd55&w=525&h=394,,
"Appartement à vendre - Toulon - 179 990 € - 3 pièces, 2 chambres, 65,6 m², 2ème étage",179 990 €,65.6,3.0,2.0,Toulon,83200,,Ouest Toulon,Appartement,Appartement,2 744 €,https://www.seloger.com/annonces/achat/appartement/toulon-83/262085465.htm,EXCLUSIVITÉ AMEPI - TOULON OUEST RARE A LA VENTE ! APPARTEMENT 3 PIECES + 2 JARDINS + 2 DEPENDANCES + 1 CAVE !! Venez découvrez cet appartement niché au 2ème et dernier étage d'une maison de 3 lots. ...,https://mms.seloger.com/e/5/4/b/e54badeb-a250-4ef0-bf02-3b8bfc01a760.jpg?ci_seal=9c4a36fcdd5affc5d4124f2a90b877a15cfddfc1&w=525&h=394,https://mms.seloger.com/4/9/e/d/49edab3e-368f-4dc6-b304-1477badc08b9.jpg?ci_seal=70d290daa365a73fa62b20c0fc23cbf3840c57ea&w=525&h=394,https://mms.seloger.com/5/7/e/9/57e91f67-54a3-4e96-b67b-87bd302640c8.jpg?ci_seal=918ba420d4cd0936fcd34e2c191e886d29db4007&w=525&h=394,,
